termo,n_eventos_validos,correlacao_log_tempo,coef_ols,p_valor_ols,flag_alerta_ph
cnae_grupo=94,94238,-0.2955065551114586,-0.05127276193058212,0.0,True
cnae_grupo=47,94238,0.0916733404248676,0.02213234228801803,5.669324958655342e-175,True
cnae_grupo=OUTRAS_DIVISOES,94238,0.06176636127399365,0.015494986981034567,2.542143453524026e-80,True
coorte_grupo=2010_2014,94238,0.058887133448759274,0.011666865134256637,3.634476020335797e-73,True
coorte_grupo=2000_2004,94238,-0.05395933011252786,-0.006925184459415917,1.0322331675041834e-61,True
coorte_grupo=2025_2026,94238,-0.046781346182493605,-0.004104962081947256,8.133071520468504e-47,True
coorte_grupo=ATE_1994,94238,0.03782845889560815,0.0063905302929723115,3.391261960064803e-31,True
cnae_grupo=45,94238,0.03235482470951181,0.0030745847885598333,2.937041508645764e-23,True
cnae_grupo=56,94238,0.031089221522449556,0.004879235573355184,1.3478158556532502e-21,True
coorte_grupo=2005_2009,94238,-0.030715308249625813,-0.0038616557703066764,4.056198389145638e-21,True
cnae_grupo=96,94238,0.025628442111053806,0.002627141936534871,3.584583756267796e-15,False
coorte_grupo=2015_2019,94238,-0.02410827137967201,-0.004924083101299207,1.3436602342658786e-13,False
uf_grupo=SP,94238,0.02105658869256512,0.005210165314635118,1.0154937938714617e-10,False
uf_grupo=PI,94238,-0.019141606862119177,-0.000948583683382317,4.188017821830335e-09,False
uf_grupo=SE,94238,-0.014309158307646142,-0.0006510346005886735,1.118888119820412e-05,False
cnae_grupo=49,94238,-0.012427764880157134,-0.0012243790338043016,0.00013607384773215147,False
cnae_grupo=82,94238,0.012243133177252565,0.0012390564960085696,0.0001709257921387305,False
uf_grupo=MA,94238,-0.01171631727984476,-0.0007859335484783585,0.0003221866576789154,False
uf_grupo=CE,94238,-0.011704850574290104,-0.0010799753992303113,0.00032657290881844467,False
uf_grupo=PB,94238,-0.01048999420380905,-0.0006454826390353465,0.0012806269316256243,False
uf_grupo=EX,94238,0.009780186869621748,0.0001344562743700496,0.002678827343103885,False
uf_grupo=RN,94238,-0.009252897837147476,-0.0005351740006282527,0.004504329872231767,False
uf_grupo=PA,94238,-0.008775964435799278,-0.0006761750353284548,0.007058322271014986,False
uf_grupo=MT,94238,0.007460025446679847,0.0005387150658797777,0.022015772748580697,False
uf_grupo=TO,94238,-0.007008292401890174,-0.00032724882949063886,0.03144321472540278,False
uf_grupo=RJ,94238,0.006680501808287379,0.0010037924409717043,0.04028739719826974,False
uf_grupo=AL,94238,-0.005815540054420848,-0.00032069389452257416,0.07421947465732236,False
uf_grupo=PE,94238,-0.005571882146735308,-0.0005354731971388545,0.0871811061649082,False
uf_grupo=AM,94238,-0.0053628373949403466,-0.00028066632976626177,0.09970509616408117,False
uf_grupo=BA,94238,-0.004845718079466287,-0.0005875112131847891,0.13687287064882384,False
uf_grupo=AP,94238,-0.004626126101661314,-0.0001094899418395827,0.1555708295133016,False
uf_grupo=RR,94238,0.0030086777364106334,7.221490403528699e-05,0.3556946132448303,False
uf_grupo=RS,94238,0.0027659083862298464,0.000397407893520012,0.3958397371705393,False
uf_grupo=RO,94238,0.002104161823300658,9.903646749387314e-05,0.5183233111209954,False
uf_grupo=SC,94238,0.0020302243447575165,0.00023304841172450821,0.5331301863716414,False
uf_grupo=ES,94238,-0.0017819873753706483,-0.0001386020464511542,0.5843571760362838,False
uf_grupo=MS,94238,0.0012977983158305598,8.168321282876904e-05,0.6903385159790658,False
uf_grupo=MG,94238,-0.0012551654634716267,-0.00022174243840162339,0.700008975259857,False
cnae_grupo=85,94238,0.0008159665623691232,7.282763180934571e-05,0.8022132040889329,False
cnae_grupo=73,94238,-0.0005866004108035108,-5.43453352665515e-05,0.8570949107439229,False
coorte_grupo=2020_2024,94238,-0.0005069687253597727,-0.0001053127725083371,0.8763260468435654,False
uf_grupo=DF,94238,-0.00047879213690314807,-3.4044549638353184e-05,0.8831488587901546,False
uf_grupo=PR,94238,0.00031785380629886344,4.413216671822241e-05,0.922270466056031,False
uf_grupo=GO,94238,0.0002835710869312322,2.9180264487235947e-05,0.9306316968482706,False
