grupo,horizonte,dias,sobrevivencia_km,followup_suficiente,tempo_max_dias_grupo,n_inicial_grupo
SC,3_anos,1096,0.7472331573992729,True,45444,3236210
SC,5_anos,1826,0.6759949723516808,True,45444,3236210
SC,10_anos,3652,0.5662086748997822,True,45444,3236210
SE,1_ano,365,0.8064190450077922,True,45729,447719
SE,3_anos,1096,0.7156470256222438,True,45729,447719
SE,5_anos,1826,0.6494524143785884,True,45729,447719
SE,10_anos,3652,0.5366780924450757,True,45729,447719
SP,1_ano,365,0.8720479010597585,True,46351,19333071
SP,3_anos,1096,0.769505425091613,True,46351,19333071
SP,5_anos,1826,0.6957619699710372,True,46351,19333071
SP,10_anos,3652,0.5809330114028219,True,46351,19333071
TO,1_ano,365,0.794479211941319,True,45729,454441
TO,3_anos,1096,0.7135752914379072,True,45729,454441
TO,5_anos,1826,0.6521501670476628,True,45729,454441
TO,10_anos,3652,0.5485360653914672,True,45729,454441
