grupo,tempo_em_dias,n_risco,n_evento,n_censura,survival_prob,hazard_step,tempo_anos,n_inicial,tempo_max_dias
GERAL,34,65256601,24548,24388,0.9793310788671807,0.00037617650358467183,0.09308692676249145,67175202,49086
GERAL,35,65207665,27981,5393,0.9789108420297203,0.0004291059954378063,0.09582477754962354,67175202,49086
GERAL,36,65174291,24001,6664,0.9785503495907684,0.00036825870495468837,0.09856262833675565,67175202,49086
GERAL,37,65143626,19604,21506,0.9782558694976066,0.0003009350446657667,0.10130047912388775,67175202,49086
GERAL,38,65102516,19101,24225,0.9779688504004757,0.0002933987989035631,0.10403832991101986,67175202,49086
GERAL,39,65059190,19298,26341,0.9776787631295608,0.0002966221989545213,0.10677618069815195,67175202,49086
GERAL,40,65013551,20123,27285,0.977376151913163,0.0003095200875891243,0.10951403148528405,67175202,49086
GERAL,41,64966143,22642,30381,0.9770355167790805,0.00034851999756242263,0.11225188227241616,67175202,49086
GERAL,42,64913120,26589,7028,0.9766353142105452,0.00040960902819029495,0.11498973305954825,67175202,49086
GERAL,43,64879503,22777,8073,0.9762924505706715,0.0003510661911204838,0.11772758384668036,67175202,49086
GERAL,44,64848653,19217,26542,0.9760031398270448,0.00029633614749098954,0.12046543463381246,67175202,49086
GERAL,45,64802894,18338,18368,0.9757269492979899,0.0002829811890808457,0.12320328542094455,67175202,49086
GERAL,46,64766188,18442,19299,0.975449113640919,0.0002847473437837657,0.12594113620807665,67175202,49086
GERAL,47,64728447,19100,20134,0.9751612791734777,0.0002950789163843217,0.12867898699520877,67175202,49086
GERAL,48,64689213,22073,19116,0.9748285384595785,0.00034121608497540386,0.13141683778234087,67175202,49086
GERAL,49,64648024,24709,3632,0.9744559510722703,0.000382208124412279,0.13415468856947296,67175202,49086
GERAL,50,64619683,21612,4873,0.9741300450783555,0.0003344491801360276,0.13689253935660506,67175202,49086
GERAL,51,64593198,18115,16714,0.9738568527560525,0.0002804474861269448,0.13963039014373715,67175202,49086
GERAL,52,64558369,17264,21968,0.9735964269589574,0.00026741691692985613,0.14236824093086928,67175202,49086
GERAL,53,64519137,17351,25715,0.9733345996563981,0.0002689279616371806,0.14510609171800137,67175202,49086
GERAL,54,64476071,18145,22585,0.9730606816580329,0.00028142223492495376,0.14784394250513347,67175202,49086
GERAL,55,64435341,21072,24764,0.9727424659961666,0.00032702550608058395,0.15058179329226556,67175202,49086
GERAL,56,64389505,24176,5568,0.9723772353291826,0.0003754649146627234,0.15331964407939766,67175202,49086
GERAL,57,64359761,20868,6067,0.9720619518689652,0.0003242398616116676,0.15605749486652978,67175202,49086
GERAL,58,64332826,17846,21177,0.9717923007643634,0.0002774011513189239,0.15879534565366188,67175202,49086
GERAL,59,64293803,17067,23970,0.9715343353240994,0.0002654532661569265,0.16153319644079397,67175202,49086
GERAL,60,64252766,17107,25128,0.9712756688275569,0.00026624534732092313,0.16427104722792607,67175202,49086
GERAL,61,64210531,17895,26212,0.97100498148355,0.0002786926026199659,0.16700889801505817,67175202,49086
GERAL,62,64166424,20669,23562,0.9706922057246533,0.000322115503896555,0.1697467488021903,67175202,49086
GERAL,63,64122193,23913,5578,0.9703302068342615,0.00037292860523344855,0.17248459958932238,67175202,49086
