threshold,flagged_rate,precision,recall,f2,lift,atende_capacidade,atende_precision_floor
0.07814958564984789,0.3160355576079427,0.11610350076103501,0.5818459191456903,0.3228373116641273,1.8410773887269296,False,True
0.07875457875457875,0.2693373354883399,0.12253536219459923,0.5233409610983981,0.31637339530765823,1.9430687548368304,False,True
0.08542713567839195,0.26680712691449243,0.12288609238091804,0.519908466819222,0.3158304450169592,1.9486303564366354,False,True
0.0935869382258879,0.2552720695759255,0.12401070324866209,0.5019832189168574,0.31187208552905943,1.9664635451531554,False,True
0.09640330188679246,0.22697798814746403,0.1282159962700801,0.4614797864225782,0.3036355971332785,2.0331477522955312,False,True
0.09803921568627451,0.21056530439467405,0.1301914378398136,0.43470633104500384,0.2961627206019914,2.0644727406287697,False,True
0.10254941277570896,0.1923872469791426,0.1329166145768221,0.4054919908466819,0.28755341591388545,2.1076864356328295,False,True
0.10929853181076672,0.17428615408296774,0.13559836608522852,0.37475209763539286,0.27703220858895705,2.150211527744164,False,True
0.10947603121516165,0.17129896867544062,0.1365308472101317,0.3708619374523265,0.27608999329933787,2.1649980751197453,False,True
0.10951327433628319,0.10614369275763873,0.1523157799329285,0.25636918382913804,0.22555230451238825,2.415303040327738,False,True
0.11270125223613596,0.10155468329100285,0.15413035240621448,0.24820747520976355,0.22120404611703284,2.4440770938995513,False,True
0.11677631578947369,0.09649907642576772,0.15687154179751758,0.240045766590389,0.21703148922083834,2.4875447048972035,True,True
0.11869510664993727,0.09329542830755022,0.15797886053106472,0.23371472158657514,0.21326651353796897,2.5051036886408835,True,True
0.1368547418967587,0.07348187485569152,0.16784498559832417,0.1955758962623951,0.18932010160080334,2.661552888334433,True,True
0.14673913043478262,0.048718540752713,0.17910742496050552,0.1383676582761251,0.14496228103823042,2.840143734568236,True,True
0.15048671402262562,0.04763622719926114,0.1797435120670504,0.13577421815408086,0.142758609627384,2.850230300274216,True,True
0.1613485851896448,0.02827003001616255,0.19091373149566104,0.08558352402745996,0.09619836411338031,3.0273587958176953,True,True
0.1652542372881356,0.020241668590779652,0.1920152091254753,0.061632341723874905,0.07131761050699054,3.044825155963143,True,True
0.17208413001912046,0.015633417994304625,0.19876923076923078,0.04927536231884058,0.057999640869096786,3.1519250836120407,True,True
0.2067137809187279,0.010741360732702224,0.20600089565606808,0.03508771929824561,0.04206829696559545,3.266599099629953,True,True
0.21414665801427643,0.00801393057800354,0.2070828331332533,0.02631578947368421,0.031881861531068645,3.2837556075061602,True,True
