modelo,split_avaliacao,roc_auc,pr_auc,brier,log_loss,base_rate,precision_top_5,recall_top_5,lift_top_5,precision_top_10,recall_top_10,lift_top_10
logistic_full,teste,0.6974546710702607,0.13590111569041685,0.059418321984969505,0.22686702901368802,0.06568162437903796,0.19248626832154886,0.14653021622620588,2.930595431238758,0.16617606894668163,0.2530031417482905,2.5300237397861323
xgboost,teste,0.6992786355049193,0.13540796454363252,0.21854615176763217,0.6190454103787005,0.06568162437903796,0.19197038205929656,0.14613749768989096,2.9227410843475297,0.1664188389524474,0.25337275919423397,2.533719903029063
lightgbm,teste,0.695040613954314,0.1346599942040205,0.2155476751544533,0.611009071111491,0.06568162437903796,0.19266834582587322,0.14666882276843468,2.9333675536709563,0.1667071283342943,0.25381167991129183,2.5381090968800435
random_forest,teste,0.6957918610417878,0.13444257888430494,0.2161817821159352,0.6139992391745218,0.06568162437903796,0.19030133826965678,0.14486693771946035,2.897329962052381,0.1659939914423573,0.2527259286638329,2.5272516173539343
heuristica_simples,teste,0.6656665310818951,0.12105776299985538,0.06066402776365556,0.23634852796177241,0.06568162437903796,0.17704002670470062,0.13477176122712992,2.6954270449072855,0.1657967408126726,0.25242561448900386,2.524248484719053
baseline_temporal,teste,0.6744775929282543,0.12059796648933793,0.05990229491510799,0.23038435055173812,0.06568162437903796,0.16590295269019512,0.12629366106080206,2.5258655561378354,0.14843868540041877,0.22599796710404732,2.259972812849501
