cnpj_basico,y_true,score_calibrado,top1_feature,top1_valor,top1_contrib,top2_feature,top2_valor,top2_contrib,top3_feature,top3_valor,top3_contrib
58585780,0,0.36363636363636365,idade_log_meses,0.0295588022415444,1.7881462435476563,flag_optante_mei_t,1.0,0.47592295501280674,flag_optante_simples_t,1.0,0.3790807760669377
58578491,0,0.36363636363636365,idade_log_meses,0.0295588022415444,1.7881462435476563,flag_optante_mei_t,1.0,0.47592295501280674,flag_optante_simples_t,1.0,0.3790807760669377
58586743,0,0.36363636363636365,idade_log_meses,0.0,1.798050657365477,flag_optante_mei_t,1.0,0.47592295501280674,flag_optante_simples_t,1.0,0.3790807760669377
58579557,0,0.36363636363636365,idade_log_meses,0.0295588022415444,1.7881462435476563,flag_optante_mei_t,1.0,0.47592295501280674,flag_optante_simples_t,1.0,0.3790807760669377
58563314,1,0.3135593220338983,idade_log_meses,0.12221763272424921,1.757098591701798,flag_optante_mei_t,1.0,0.47592295501280674,flag_optante_simples_t,1.0,0.3790807760669377
58169237,1,0.21414665801427643,idade_log_meses,0.8372475245337022,1.5175099952924664,flag_optante_mei_t,1.0,0.47592295501280674,flag_optante_simples_t,1.0,0.3790807760669377
58202539,1,0.21414665801427643,idade_log_meses,0.8109302162163288,1.526328265735783,flag_optante_mei_t,1.0,0.47592295501280674,flag_optante_simples_t,1.0,0.3790807760669377
58209570,0,0.21414665801427643,idade_log_meses,0.7793248768009976,1.5369184228694903,flag_optante_mei_t,1.0,0.47592295501280674,flag_optante_simples_t,1.0,0.3790807760669377
58228698,0,0.21414665801427643,idade_log_meses,0.7654678421395714,1.5415615678945533,flag_optante_mei_t,1.0,0.47592295501280674,flag_optante_simples_t,1.0,0.3790807760669377
58537091,0,0.21414665801427643,idade_log_meses,0.2851789422336624,1.702494341080075,flag_optante_mei_t,1.0,0.47592295501280674,flag_optante_simples_t,1.0,0.3790807760669377
