metodo_calibracao,roc_auc,pr_auc,brier,log_loss,base_rate
isotonic,0.7031993817773524,0.1263499287010372,0.057181522167073645,0.2193857675260831,0.06306280304779496
sigmoid,0.7031469649277964,0.1290958838657446,0.05719302558894292,0.21955084286696702,0.06306280304779496
