modelo,split_avaliacao,roc_auc,pr_auc,brier,log_loss,base_rate,precision_top_5,recall_top_5,lift_top_5,precision_top_10,recall_top_10,lift_top_10
random_forest,validacao_selecao,0.705208020890572,0.12646020997590882,0.21550472580706062,0.6114506776540288,0.06107588523118793,0.17361513221385833,0.1421347870743462,2.8426134399310037,0.15228720324261724,0.2493481867741171,2.4934096766042932
logistic_full,validacao_selecao,0.7053517883885976,0.12641575276591258,0.055527817016005364,0.21417150963022386,0.06107588523118793,0.17525574213472303,0.14347791735798374,2.8694752678792126,0.15122563211735185,0.24761001817176267,2.476028493814276
xgboost,validacao_selecao,0.705179318350031,0.12622605885715957,0.2196079008550879,0.6198977900676776,0.06107588523118793,0.1745801968731905,0.14292486371178004,2.858414515194656,0.15248021617448368,0.24966421742909062,2.496569891657024
lightgbm,validacao_selecao,0.7033262457883507,0.12582077480855378,0.2180489426083796,0.6150756007021302,0.06107588523118793,0.17612430032812199,0.14418898633167418,2.8836962356164992,0.153059254970083,0.25061230939401125,2.506050536815215
heuristica_simples,validacao_selecao,0.6851753605077362,0.11406183509358611,0.05654661582743925,0.22282051249282966,0.06107588523118793,0.15624396834587917,0.12791340760053727,2.5581940851852667,0.15011580775911987,0.24579284190566486,2.4578572572610766
baseline_temporal,validacao_selecao,0.6795460613191457,0.11196012460976218,0.05601001253381309,0.21814937052147054,0.06107588523118793,0.15170816444701796,0.12420004740459825,2.4839290314461024,0.1367014089944026,0.22382871138500435,2.2382223110963126
