cnae_div,n,taxa_baixa
88,1751750,0.938483
94,4406735,0.779208
52,516903,0.60402
47,16163219,0.522019
15,157834,0.521472
56,5552492,0.50635
95,971226,0.50381
58,437934,0.49141
14,981616,0.490338
16,189133,0.470278
13,227955,0.463903
46,1587773,0.462565
23,227130,0.461951
32,374498,0.455605
10,960852,0.453433
