cnae_div,n,taxa_baixa
47,16163219,0.522019
56,5552492,0.50635
94,4406735,0.779208
43,3319964,0.352696
96,3081969,0.369082
49,2959423,0.35321
82,2798171,0.390843
45,2487175,0.392577
85,2055993,0.415325
73,2045805,0.435972
88,1751750,0.938483
46,1587773,0.462565
53,1157360,0.40161
86,1133195,0.224193
14,981616,0.490338
