grupo,q05,q25,q50,q75,q95
Ativa/Censurada,0.0,2.9972879900452565,3.6861788310516426,4.2024408371712685,5.080409070158892
Baixada,0.0,0.0,2.109141046505258,3.699056854547668,4.612432869426193
